epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.495,1.29961,2.44521,1.32798,0.57473,0.45627,0.4866,0.31144,1.31035,1.79088,1.26597,0.00332933,0.00332933,0.00332933
2,315.701,1.35315,1.99849,1.34199,0.52731,0.37592,0.39421,0.23006,1.50148,1.91333,1.42028,0.00655273,0.00655273,0.00655273
3,476.016,1.46694,2.0329,1.41786,0.37621,0.29302,0.25386,0.13587,1.7321,2.38685,1.61437,0.00966613,0.00966613,0.00966613
4,638.878,1.54043,2.0538,1.47812,0.50576,0.34206,0.3673,0.21585,1.5941,1.96513,1.53306,0.009505,0.009505,0.009505
5,798.125,1.4955,1.94512,1.45211,0.50078,0.37721,0.395,0.23748,1.51738,1.80499,1.45542,0.00934,0.00934,0.00934
6,960.942,1.45535,1.85168,1.42506,0.51998,0.40234,0.42124,0.25731,1.50094,1.74148,1.40332,0.009175,0.009175,0.009175
7,1119.2,1.42309,1.77626,1.40073,0.56897,0.42056,0.46068,0.28561,1.44971,1.65362,1.39876,0.00901,0.00901,0.00901
8,1276.67,1.3945,1.72352,1.37615,0.5543,0.44349,0.46722,0.29015,1.43692,1.5967,1.38353,0.008845,0.008845,0.008845
9,1432.45,1.37652,1.66645,1.36503,0.58591,0.44355,0.48367,0.30581,1.42404,1.54723,1.37475,0.00868,0.00868,0.00868
10,1588.47,1.36805,1.64565,1.35755,0.59024,0.44691,0.49367,0.30771,1.39186,1.53495,1.35916,0.008515,0.008515,0.008515
11,1743.21,1.34368,1.61111,1.342,0.58282,0.45601,0.49553,0.31742,1.36891,1.49177,1.33517,0.00835,0.00835,0.00835
12,1898.77,1.33553,1.5928,1.33927,0.58996,0.48349,0.52294,0.33487,1.34958,1.45002,1.32659,0.008185,0.008185,0.008185
13,2053.67,1.31898,1.56271,1.33037,0.6097,0.47159,0.51699,0.33462,1.34695,1.46569,1.31769,0.00802,0.00802,0.00802
14,2209.46,1.31053,1.54452,1.32075,0.6071,0.49932,0.54528,0.35602,1.30924,1.38789,1.2889,0.007855,0.007855,0.007855
15,2363.75,1.29675,1.50995,1.31468,0.62594,0.49698,0.55014,0.36124,1.31486,1.37645,1.28682,0.00769,0.00769,0.00769
16,2517.73,1.28732,1.48517,1.30203,0.62576,0.49527,0.55758,0.36965,1.29166,1.35778,1.27675,0.007525,0.007525,0.007525
17,2673.19,1.27569,1.47242,1.29811,0.63912,0.4964,0.56186,0.36952,1.29455,1.3396,1.27546,0.00736,0.00736,0.00736
18,2828.84,1.27009,1.45347,1.29007,0.64564,0.50125,0.56861,0.37783,1.28147,1.31926,1.26663,0.007195,0.007195,0.007195
19,2985.57,1.26748,1.44307,1.28809,0.64459,0.50187,0.56968,0.37765,1.28098,1.32031,1.26224,0.00703,0.00703,0.00703
20,3141.68,1.25728,1.43318,1.28823,0.64931,0.50972,0.58191,0.38646,1.26371,1.29565,1.25301,0.006865,0.006865,0.006865
21,3298.79,1.25658,1.41861,1.28449,0.66145,0.51872,0.58742,0.39292,1.25499,1.27622,1.24897,0.0067,0.0067,0.0067
22,3454.66,1.24418,1.40515,1.27653,0.65913,0.52447,0.59465,0.39859,1.24956,1.25509,1.23997,0.006535,0.006535,0.006535
23,3609.13,1.24116,1.39853,1.27425,0.63974,0.52982,0.58976,0.39534,1.24683,1.25551,1.23796,0.00637,0.00637,0.00637
24,3763.61,1.2297,1.37449,1.26732,0.66012,0.53325,0.59989,0.4045,1.23246,1.23851,1.23822,0.006205,0.006205,0.006205
25,3918.38,1.22355,1.36867,1.26081,0.67059,0.53364,0.60547,0.40933,1.23109,1.22563,1.22325,0.00604,0.00604,0.00604
26,4061.35,1.22831,1.35834,1.25764,0.68593,0.52921,0.61177,0.41307,1.22769,1.21172,1.21869,0.005875,0.005875,0.005875
27,4204.48,1.2189,1.35407,1.25645,0.68112,0.53794,0.61125,0.41478,1.21915,1.20564,1.21641,0.00571,0.00571,0.00571
28,4347.43,1.21451,1.33662,1.2524,0.66157,0.55052,0.61782,0.41748,1.21794,1.19505,1.21665,0.005545,0.005545,0.005545
29,4491.31,1.20147,1.32176,1.24776,0.68216,0.54121,0.62068,0.42336,1.20825,1.18122,1.21195,0.00538,0.00538,0.00538
30,4634.2,1.18836,1.30853,1.24162,0.67875,0.53702,0.6189,0.42158,1.21142,1.18548,1.21433,0.005215,0.005215,0.005215
31,4775.81,1.19606,1.29517,1.24078,0.66837,0.55628,0.62434,0.42728,1.202,1.16929,1.20536,0.00505,0.00505,0.00505
32,4917.75,1.19161,1.29252,1.23978,0.68212,0.54529,0.62519,0.42946,1.19629,1.16729,1.20116,0.004885,0.004885,0.004885
33,5060.48,1.1832,1.283,1.23207,0.69943,0.54685,0.63075,0.4313,1.19812,1.15901,1.2021,0.00472,0.00472,0.00472
34,5203.67,1.17079,1.26014,1.22515,0.67945,0.56014,0.63183,0.43355,1.19006,1.15052,1.19923,0.004555,0.004555,0.004555
35,5344.64,1.1698,1.25922,1.22627,0.70018,0.55636,0.63865,0.43774,1.19046,1.14231,1.19647,0.00439,0.00439,0.00439
36,5485.94,1.16901,1.25773,1.22643,0.6885,0.56795,0.64012,0.43976,1.18993,1.13906,1.19971,0.004225,0.004225,0.004225
37,5626.53,1.16439,1.24797,1.22001,0.70235,0.56045,0.64258,0.44221,1.1836,1.1314,1.18985,0.00406,0.00406,0.00406
38,5767.94,1.16142,1.24498,1.21836,0.70339,0.56157,0.64289,0.44253,1.17969,1.12343,1.18831,0.003895,0.003895,0.003895
39,5908.74,1.15955,1.23145,1.21693,0.70472,0.56567,0.64691,0.4451,1.17692,1.119,1.18504,0.00373,0.00373,0.00373
40,6050.42,1.152,1.21879,1.21059,0.70589,0.57077,0.64837,0.44772,1.17596,1.11374,1.18528,0.003565,0.003565,0.003565
41,6191.17,1.14308,1.20952,1.20611,0.69416,0.5724,0.64985,0.44891,1.17419,1.11068,1.18272,0.0034,0.0034,0.0034
